,User votes
0,"27,192 votes"
1,"1,815 votes"
2,"5,444 votes"
3,142 votes
4,"2,614 votes"
5,"3,748 votes"
6,"16,593 votes"
7,67 votes
8,"1,895 votes"
9,"16,011 votes"
10,"4,708 votes"
11,320 votes
12,"6,375 votes"
13,"2,664 votes"
14,"10,301 votes"
15,"2,191 votes"
16,143 votes
17,"1,303 votes"
18,"7,773 votes"
19,"29,158 votes"
20,"3,675 votes"
21,"8,873 votes"
22,"4,695 votes"
23,"2,392 votes"
24,"4,349 votes"
25,"1,760 votes"
26,"3,271 votes"
27,"8,218 votes"
28,"1,329 votes"
29,"36,628 votes"
30,569 votes
31,"1,252 votes"
32,168 votes
33,"6,338 votes"
34,"6,138 votes"
35,"43,947 votes"
36,"4,382 votes"
37,387 votes
38,"18,701 votes"
39,"1,672 votes"
40,75 votes
41,"185,665 votes"
42,"6,504 votes"
43,"1,355 votes"
44,127 votes
45,"1,795 votes"
46,"5,589 votes"
47,"335,031 votes"
48,"9,002 votes"
49,"316,923 votes"
50,"162,980 votes"
51,"106,180 votes"
52,"67,138 votes"
53,"1,998,440 votes"
54,"92,892 votes"
55,"541,345 votes"
56,"2,621 votes"
57,"159,778 votes"
58,"218,746 votes"
59,"81,514 votes"
60,"440,517 votes"
61,"111,806 votes"
62,"502,029 votes"
63,"281,229 votes"
64,"3,512 votes"
65,"509,175 votes"
66,"104,284 votes"
67,"749,653 votes"
68,"213,834 votes"
69,"20,723 votes"
70,"97,283 votes"
71,"2,272,248 votes"
72,"1,348,031 votes"
73,"29,426 votes"
74,"750,130 votes"
75,"108,257 votes"
76,"1,496,834 votes"
77,"30,765 votes"
78,"343,277 votes"
79,"720,697 votes"
80,"256,865 votes"
81,"633,168 votes"
82,"16,099 votes"
83,"531,877 votes"
84,"127,784 votes"
85,"466,950 votes"
86,"1,144 votes"
87,"58,444 votes"
88,"233,731 votes"
89,"10,517 votes"
90,"393,724 votes"
91,"797,879 votes"
92,"21,213 votes"
93,"267,085 votes"
94,"19,584 votes"
95,"76,170 votes"
96,"289,630 votes"
97,"298,876 votes"
98,"325,684 votes"
99,"12,821 votes"
100,"231,008 votes"
101,"101,341 votes"
102,"57,339 votes"
103,"256,183 votes"
104,565 votes
105,"416,708 votes"
106,"95,293 votes"
107,"243,697 votes"
108,"5,633 votes"
109,"328,085 votes"
110,"225,553 votes"
111,"645,136 votes"
112,"46,375 votes"
113,"16,540 votes"
114,"93,001 votes"
115,"324,492 votes"
116,"627,849 votes"
117,"263,424 votes"
118,"153,257 votes"
119,"6,644 votes"
120,"81,675 votes"
121,"167,779 votes"
122,"215,914 votes"
123,"1,470 votes"
124,"524,912 votes"
125,"46,364 votes"
126,"447,113 votes"
127,"75,223 votes"
128,"166,538 votes"
129,"17,551 votes"
130,"455,771 votes"
131,"170,691 votes"
132,"267,616 votes"
133,"7,465 votes"
134,"357,853 votes"
135,"621,591 votes"
136,"567,403 votes"
137,"41,326 votes"
138,"724,882 votes"
139,"612,469 votes"
140,"93,785 votes"
141,"71,510 votes"
142,"20,701 votes"
143,"52,343 votes"
144,"3,758 votes"
145,"114,195 votes"
146,548 votes
147,"164,234 votes"
148,"2,071 votes"
149,"57,929 votes"
150,"74,619 votes"
151,"127,375 votes"
152,"157,550 votes"
153,"301,097 votes"
154,"7,136 votes"
155,"261,564 votes"
156,"279,218 votes"
157,182 votes
158,"329,677 votes"
159,"208,798 votes"
160,"394,341 votes"
161,"41,406 votes"
162,"10,788 votes"
163,"102,585 votes"
164,"3,489 votes"
